5	4	8	1	2	2	3	1	1	A
3	4	7	1	2	2	2	1	1	A
2	4	6	2	2	2	1	1	1	A
3	3	7	1	2	2	2	1	1	A
3	3	7	1	3	2	2	1	1	A
2	2	7	2	2	2	2	1	2	A
3	3	7	1	3	2	2	1	1	A
3	3	7	1	3	2	2	1	1	A
5	5	6	1	2	2	2	1	1	A
3	3	7	1	2	2	3	1	2	A
2	2	5	2	3	2	2	1	2	A
3	2	7	1	2	2	3	1	1	A
2	3	5	2	3	2	2	1	2	A
3	3	6	1	3	2	3	1	2	A
3	2	7	1	3	2	3	1	1	A
3	2	6	1	3	2	3	1	1	A
3	2	7	1	3	2	3	1	1	A
5	6	8	1	2	2	3	1	1	A
5	4	7	1	2	2	3	1	1	A
3	3	6	2	2	2	3	1	1	A
3	2	6	2	2	2	3	1	2	A
5	6	7	1	2	1	3	1	1	A
3	2	7	1	2	2	3	1	1	A
3	2	6	1	3	2	3	1	1	A
2	3	5	1	2	2	3	1	1	A
3	3	6	1	2	2	3	1	1	A
3	3	5	2	2	2	3	1	1	A
2	3	5	1	3	2	3	1	1	A
3	2	6	2	3	2	3	1	1	A
3	3	5	1	2	2	3	1	1	A
3	2	6	1	3	2	3	1	2	A
3	2	5	1	3	2	3	1	1	A
3	3	5	1	2	2	3	1	2	A
3	2	5	1	3	2	3	1	1	A
3	2	6	1	2	2	3	1	1	A
1	3	5	1	2	2	3	1	1	A
5	4	6	1	2	2	3	1	1	A
3	2	5	1	2	2	3	1	1	A
5	6	8	1	2	2	4	1	1	A
5	6	8	1	2	2	4	1	1	A
3	2	5	1	3	2	3	1	1	A
3	2	5	1	3	2	3	1	1	A
3	3	4	1	2	2	3	1	1	A
5	4	8	1	2	2	4	1	1	A
3	2	5	1	2	2	3	1	3	A
5	4	5	1	2	2	3	1	1	A
4	3	4	1	2	2	3	1	2	A
5	4	7	1	2	1	4	1	2	A
5	3	8	1	2	2	4	1	1	A
5	4	4	1	2	2	3	1	1	A
5	4	7	1	2	2	4	1	2	A
5	3	3	1	2	2	3	1	2	A
4	4	2	1	2	2	3	1	1	A
4	3	2	1	2	2	3	1	1	A
3	3	2	1	2	2	3	1	1	A
3	2	2	1	3	2	3	1	2	A
1	3	5	1	2	2	3	1	3	A
4	3	5	1	2	2	3	1	1	A
3	4	7	1	2	2	2	1	1	A
3	3	7	1	2	2	2	1	2	A
5	4	7	1	2	2	3	1	1	A
5	4	6	1	2	2	3	2	1	A
5	4	8	1	2	2	4	1	2	A
5	6	8	1	1	1	4	1	1	A
5	4	7	1	2	2	4	1	1	A
5	4	7	1	2	2	4	1	1	A
5	3	7	1	2	2	4	1	2	A
5	3	7	1	2	2	4	1	2	A
5	3	6	1	2	2	4	1	2	A
5	3	6	1	2	2	5	1	1	A
2	6	7	2	2	2	1	1	2	B
4	4	8	1	2	2	3	1	3	B
2	3	7	2	3	2	2	1	1	B
2	3	6	2	2	2	2	1	1	B
2	3	6	2	3	2	2	1	1	B
2	3	6	2	3	2	2	1	1	B
2	4	7	2	2	2	2	1	1	B
2	3	6	2	2	2	2	1	1	B
2	4	6	1	2	2	2	1	2	B
2	2	6	3	2	2	2	1	1	B
2	3	6	3	2	2	2	1	1	B
2	3	5	2	3	2	2	1	1	B
