5	1	2	3	9	5	4	DD
1	6	5	3	7	5	4	CC
1	6	5	3	7	5	4	CC
1	6	5	3	7	5	4	CC
1	6	3	3	7	4	4	CC
1	6	5	3	7	5	4	CC
1	7	5	3	9	5	4	CC
1	7	5	3	9	5	4	CC
1	7	5	3	9	5	4	CC
1	7	5	3	9	5	4	CC
8	3	1	1	2	1	3	BB
8	2	1	1	2	3	3	BB
4	4	3	3	2	3	4	AA
3	5	3	3	2	3	4	AA
7	1	1	1	2	1	1	Z
6	2	3	1	4	5	2	Z
5	2	1	2	4	4	1	Y
5	2	2	1	6	5	2	Y
5	3	1	1	5	4	2	Y
4	5	2	3	7	5	4	Y
5	4	2	1	5	5	2	Y
5	4	2	1	5	4	2	Y
5	4	2	1	6	5	3	Y
4	4	2	1	6	5	3	Y
7	1	2	1	2	3	2	X
7	2	1	1	2	1	3	X
7	1	2	1	2	3	2	X
7	1	1	1	2	1	2	X
7	2	2	1	2	2	3	X
7	1	2	1	2	3	2	X
1	4	1	3	8	4	4	V
1	4	1	3	8	4	4	V
3	4	3	2	8	4	2	V
3	4	3	2	8	4	3	V
3	5	4	2	8	4	4	V
4	5	4	2	8	4	4	V
3	1	1	2	2	1	1	V
3	3	1	2	2	2	2	V
3	4	3	2	2	2	3	V
3	3	1	2	3	2	2	W
3	3	3	2	3	2	3	W
3	4	3	2	3	2	3	W
3	4	3	2	3	3	3	W
3	4	3	2	3	3	3	W
5	3	3	2	3	3	3	U
5	3	3	2	3	3	3	U
8	2	1	2	2	1	1	U
8	3	2	1	2	1	1	U
7	2	3	1	2	2	3	U
6	2	3	2	2	3	3	U
8	1	3	1	2	1	2	T
8	1	1	1	2	1	2	T
5	3	3	2	2	1	4	T
6	3	3	1	2	1	3	T
4	3	1	2	2	1	2	T
4	3	3	2	2	1	3	T
6	3	3	2	2	1	3	T
8	1	3	1	2	1	1	S
8	1	3	1	2	1	1	S
8	1	3	1	2	1	1	S
8	1	3	1	2	1	1	S
8	1	3	1	2	1	1	S
5	2	1	1	7	4	3	Q
4	4	3	3	2	5	4	P
4	4	3	3	2	5	4	P
4	4	3	3	2	5	4	P
4	1	1	1	3	3	1	N
4	1	1	1	3	3	2	N
4	3	1	1	3	4	2	N
4	4	1	2	3	4	2	N
4	4	3	2	3	4	3	N
4	4	3	2	3	5	3	N
5	1	1	1	3	4	1	N
7	2	1	1	6	4	3	R
7	2	1	1	6	4	3	R
7	2	3	1	6	4	3	R
7	2	1	1	2	4	3	R
7	1	3	1	2	4	3	R
7	1	1	1	6	4	3	R
6	2	3	1	2	5	3	R
7	3	1	1	3	1	1	O
7	3	1	2	3	5	3	O
7	3	3	2	3	5	3	O
7	3	1	1	2	1	1	O
7	3	1	1	3	3	1	O
5	4	1	1	3	3	2	O
5	4	1	1	4	3	3	O
5	4	1	2	2	4	2	O
5	4	5	3	2	4	4	O
5	4	3	3	2	5	3	O
5	4	5	3	2	5	4	O
5	4	5	3	2	5	4	O
5	4	1	2	2	4	1	O
4	5	3	1	6	3	4	M
4	5	4	3	8	4	4	M
1	7	5	3	9	4	4	M
1	7	5	3	7	4	4	M
1	6	5	1	7	4	4	M
1	6	3	1	7	4	4	M
8	1	1	1	2	1	1	M
6	3	1	1	2	2	2	M
4	2	2	2	2	3	3	M
8	2	1	1	2	1	1	M
8	2	1	1	2	1	1	M
8	2	1	1	2	1	1	M
8	4	1	1	2	1	2	M
8	5	3	1	2	1	2	M
8	3	1	1	2	1	1	M
8	2	1	1	2	1	1	M
8	3	1	1	2	1	1	M
8	3	1	2	2	1	1	M
8	4	1	1	3	3	3	M
6	4	1	2	3	3	3	M
6	4	1	2	3	3	2	M
6	4	3	2	2	3	3	M
6	4	3	2	2	3	3	M
6	4	3	2	2	3	3	M
6	3	1	1	3	3	2	M
1	4	3	2	2	1	3	M
1	4	3	2	3	2	3	M
1	5	3	2	6	3	4	M
1	5	3	3	6	3	4	M
8	2	1	1	1	1	1	M
8	2	1	1	1	1	1	M
8	2	1	1	1	1	1	M
3	4	1	1	3	3	2	L
3	4	3	2	3	3	3	L
3	4	3	2	2	3	3	L
3	4	3	2	2	3	3	L
3	4	3	2	2	3	3	L
3	6	3	3	2	3	4	L
4	3	3	1	3	3	1	K
4	3	3	2	3	3	2	K
4	3	3	2	3	3	2	K
3	4	3	2	3	4	3	K
3	4	3	2	6	4	3	K
3	4	3	2	6	4	3	K
5	2	1	1	7	5	2	J
4	4	3	2	2	1	3	I
4	4	1	1	2	2	3	I
4	4	3	3	2	3	3	I
4	4	3	3	2	3	3	I
4	4	3	1	2	3	3	I
4	5	3	2	2	3	3	I
4	5	3	3	2	3	4	I
4	4	3	3	5	3	3	I
4	5	3	3	5	3	4	I
3	5	3	3	5	3	4	I
4	5	3	3	7	4	4	I
4	4	3	2	6	3	4	I
2	6	3	3	7	4	4	I
2	6	5	3	7	4	4	I
2	6	5	3	7	4	4	I
2	7	5	3	9	5	4	I
2	5	4	3	7	4	4	I
2	6	5	3	7	4	4	I
2	7	5	3	9	4	4	I
4	3	1	1	2	1	1	H
4	3	1	1	2	3	1	H
3	3	1	1	2	3	1	H
3	4	2	1	2	3	1	H
3	4	3	1	2	3	2	H
3	5	3	1	2	3	2	H
3	5	3	1	2	3	3	H
3	5	3	1	2	3	3	H
2	5	3	3	9	5	3	H
2	5	3	3	9	5	4	H
2	6	3	3	4	3	4	H
2	6	4	3	4	3	4	H
2	5	3	3	9	5	4	H
6	3	1	1	2	1	2	G
6	3	1	1	2	1	2	G
6	4	3	3	2	2	3	G
7	2	1	1	2	3	2	F
7	2	1	1	4	3	3	F
7	3	3	1	2	3	3	F
5	2	1	1	2	2	2	E
5	2	1	1	3	3	2	E
5	3	1	2	2	3	3	E
5	3	3	2	2	3	3	E
5	4	3	3	2	3	4	E
6	2	1	2	2	1	1	D
6	2	1	2	2	2	1	D
4	4	1	2	3	3	1	D
4	4	2	2	6	4	2	D
4	4	3	2	4	3	3	D
3	5	3	3	4	3	4	D
4	5	3	2	6	3	3	D
4	5	3	3	6	3	4	D
4	6	3	3	8	4	4	D
1	6	4	3	7	4	4	D
1	6	5	3	8	4	4	D
1	6	5	3	9	5	4	D
4	4	3	3	5	5	3	C
3	4	5	2	6	5	4	C
3	4	5	3	9	5	4	C
3	4	5	3	9	5	4	C
3	5	5	3	9	5	4	C
2	6	5	3	8	5	4	C
2	6	5	3	8	5	4	C
6	1	1	1	2	1	1	C
6	2	1	1	2	1	1	C
6	1	1	1	2	1	1	C
6	2	1	1	2	1	1	C
4	3	3	1	2	3	3	C
4	3	3	3	3	3	3	C
5	4	3	1	3	3	3	B
8	2	3	3	1	1	3	A
8	3	1	1	1	1	3	A
